Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/22 8:59:48 AM EST,2,6/8/21,English,6,8,8,10,Not sure,4,1,4,3,4,3,No,No,7,9,10,10,10,5,7,Female,38,English,White,No,Yes,Rent,No,,"$100,000 to $149,999",No,8 yrs,Walk;Public transit,
2021/07/22 9:12:21 AM EST,5,6/2/21,English,3,3,8,7,Wrong track,4,1,3,2,1,4,"Yes, once",No,9,3,9,8,5,5,1,Male,45,,White,No,No,Own,No,,"$100,000 to $149,999",No,18 years,Walk;Public transit;Car,
2021/07/22 9:14:43 AM EST,4,6/2/21,English,10,10,9,10,,5,3,5,5,4,4,No,No,8,10,8,9,9,9,9,Female,72,English,White,No,No,Own,No,,"$25,000 to $49,999",No,53 yrs,Car,
2021/07/22 9:17:26 AM EST,5,6/2/21,English,8,7,9,9,Right direction,4,3,,4,1,3,No,No,7,7,8,8,8,6,7,Male,30,English,White,No,No,Rent,No,,"$100,000 to $149,999",No,8 mths.,Walk;Bike;Car,
2021/07/22 9:21:52 AM EST,2,6/2/21,English,8,9,10,10,Right direction,5,4,,1,4,4,"Yes, more than once",No,9,9,10,10,10,9,10,Male,29,"English, Portuguese",Hispanic/Latino;White,No,No,Rent,Yes,closer to family,"$100,000 to $149,999",No,2 years,Walk;Bike;Car,
2021/07/22 9:23:57 AM EST,2,6/2/21,English,8,8,8,8,Not sure,5,1,3,5,4,4,"Yes, once","Yes, once",3,8,8,8,7,8,10,Male,,,Celtic,No,No,Own,No,,,No,25 yrs,Car,
2021/07/22 9:30:32 AM EST,4,6/2/21,English,8,8,7,7,Not sure,4,1,4,4,4,4,"Yes, more than once","Yes, more than once",6,5,7,7,8,10,8,Female,43,English,White,No,Yes,Own,Yes,More outside space/ better safety for the kids walking/biking on their own. Close proximntly to nature/woods,"$200,000 or more",No,20 years,,
2021/07/22 9:33:05 AM EST,4,6/2/21,English,10,9,8,9,Right direction,5,4,4,4,2,3,"Yes, once",No,4,4,10,8,7,10,9,Female,33,English,White,No,Yes,Own,No,,"$200,000 or more",No,5 years,Walk;Public transit;Car,
2021/07/22 9:38:22 AM EST,1,6/2/21,English,6,7,4,5,Not sure,5,1,3,3,2,4,"Yes, more than once","Yes, once",3,2,3,6,4,3,9,Female,33,English,White,Yes,No,Rent,Yes,"cost of housing too high, unreliable public transit (Orange line + bus)","$75,000 to $99,999",No,6.5 yrs,Walk;Public transit;Car,
2021/07/22 9:41:08 AM EST,6,6/2/21,English,10,8,10,10,Right direction,5,3,5,5,2,3,"Yes, more than once",No,1,10,5,10,10,8,4,Female,91,Spanish/Italian,White,Yes,No,Own,No,,"$10,000 to $24,999",No,49 years,Walk,
2021/07/22 9:44:17 AM EST,5,6/2/21,English,9,8,9,8,Right direction,4,1,3,4,3,5,No,No,8,9,7,9,8,9,8,Female,31,English,White,No,No,Rent,Yes,Moving in with Boyfriend who owns condo in Boston,"$50,000 to 74,999",No,10 years,Car,
2021/07/22 9:48:22 AM EST,4,6/2/21,English,,,,,Not sure,1,1,5,1,5,1,No,,10,10,,,,,,Male,57,,Black/African American,No,No,Rent,Yes,"Expensive, not voucher 18 years","$25,000 to $49,999",No,16 years,Public transit,
2021/07/22 9:50:55 AM EST,6,6/2/21,English,6,7,7,7,Wrong track,3,2,1,3,4,3,"Yes, once",No,6,9,8,8,7,9,7,Female,40,English,White,No,No,Own,No,,"$200,000 or more",No,15 years,Walk;Car,
2021/07/22 9:58:22 AM EST,7,6/2/21,English,1,2,3,1,Not sure,2,1,2,,2,1,No,"Yes, once",3,5,1,3,1,1,1,Female,33,English,White,,Yes,Rent,,Maybe,,No,5 years,Walk;Public transit,
2021/07/22 10:03:16 AM EST,5,6/2/21,English,6,7,7,8,Wrong track,1,1,,2,2,4,"Yes, more than once",No,2,6,5,8,7,9,4,,26,English,Asian;White,No,No,Rent,,,"$200,000 or more",,3 years,Walk;Bike;Public transit;Car,"Hostile architecture & bad urban planning. 
Make the sidewalks appropriately aligned w/ traffic"
2021/07/22 10:07:39 AM EST,1,6/2/21,English,7,7,6,6,Not sure,4,1,3,3,1,2,"Yes, more than once","Yes, once",3,3,5,2,2,4,4,Male,37,English,White,No,No,Rent,Yes,Cost of living too high. Too many lonpos/gentrification,"$75,000 to $99,999",No,7 years,Walk;Public transit;Car,
2021/07/22 10:11:49 AM EST,4,6/2/21,English,7,8,8,8,Right direction,4,1,4,5,4,4,No,No,6,5,4,10,9,7,7,Female,32,English/Spanish,Hispanic/Latino,No,No,Rent,Yes,I want to purchase a home but I dont think I can here,,No,5 years,Walk;Bike;Public transit,
2021/07/22 10:16:49 AM EST,5,6/2/21,English,7,10,7,9,Not sure,3,3,3,2,4,3,"Yes, more than once","Yes, more than once",2,7,7,9,9,10,4,Female,40,English,White,No,Yes,Own,No,,"$200,000 or more",,13 years,Walk;Car,
2021/07/22 10:20:02 AM EST,3,6/2/21,English,2,9,3,10,Wrong track,1,1,5,4,1,3,"Yes, more than once",No,1,1,4,4,4,8,6,Female,42,English,White,No,Yes,Own,No,,"$100,000 to $149,999",No,>30 yrs.,Car,*We need more on street parking
2021/07/22 10:26:03 AM EST,7,6/1/21,English,9,9,4,6,Wrong track,4,1,2,5,3,4,"Yes, more than once","Yes, once",10,4,10,6,7,9,3,Male,53,English,White,No,Yes,,Yes,Lack of respect for political positing ,"$150,000 to 200,000",No,50 years,Walk;Public transit;Car,
2021/07/22 10:30:44 AM EST,4,6/1/21,English,10,10,10,10,Right direction,5,2,5,5,3,5,"Yes, once",No,10,8,9,9,9,9,9,Female,64,,White,No,No,Own,No,,"$50,000 to 74,999",No,23 years,Car,Thanks for ever improving our wonderful city! :)
2021/07/22 10:33:43 AM EST,5,6/1/21,English,8,9,9,9,Right direction,,1,4,1,2,4,No,No,9,2,9,2,9,5,9,Male,54,English,Black/African American,No,No,Rent,Yes,The Land lord racist,"$50,000 to 74,999",No,,Car,
2021/07/22 10:37:14 AM EST,7,6/1/21,English,7,8,8,8,Right direction,5,1,5,3,3,3,"Yes, once","Yes, more than once",6,7,7,8,8,8,10,Female,44,English,White,No,No,Rent,No,,"$150,000 to 200,000",No,20 yrs,Walk;Car,
2021/07/22 10:39:50 AM EST,6,6/1/21,English,6,8,10,10,Right direction,4,3,3,4,4,4,"Yes, more than once","Yes, once",8,9,9,9,9,9,9,Female,74,English,White,No,No,Own,No,,"$75,000 to $99,999",No,28 years,Walk;Public transit;Car,
2021/07/22 10:42:38 AM EST,1,,English,,,,5,,,,,4,3,,,No,2,2,3,6,9,,2,Female,85,English,White,Yes,No,Own,,,"$10,000 to $24,999",No,50-years,Walk;Public transit,
2021/07/22 10:51:11 AM EST,7,,English,7,6,9,9,Right direction,3,1,4,4,4,4,No,No,8,9,9,9,9,7,7,Female,74,English,White,Yes,No,Rent,No,,"Less than $10,000",No,16 years,Public transit,
2021/07/22 10:56:01 AM EST,2,6/2/21,,8,8,9,9,Right direction,4,2,3,4,5,3,"Yes, once",No,9,8,9,8,8,9,8,Female,24,English,White,No,No,Rent,Yes,New job in different city. I'm sad to leave though,"$150,000 to 200,000",No,1.5 years,Walk;Public transit,
2021/07/22 11:03:21 AM EST,5,6/2/21,English,7,7,10,10,Right direction,5,2,4,3,4,4,"Yes, more than once",No,8,8,9,9,9,9,10,Female,33,English,White,No,No,Own,No,,"$100,000 to $149,999",,12 years,Public transit;Car,
2021/07/22 11:05:36 AM EST,3,6/2/21,English,7,,8,7,Right direction,5,2,4,3,3,5,"Yes, more than once","Yes, once",8,9,7,8,7,8,8,Female,49,Eng,White,No,Yes,Own,No,,"$100,000 to $149,999",No,20 yrs,Car,
2021/07/22 11:08:04 AM EST,4,6/2/21,English,,,,,Right direction,,,,,,,"Yes, once",No,,,,,,,,Female,78,Italiano,White,Yes,No,Own,No,,"$10,000 to $24,999",No,35 yrs,Public transit,
2021/07/22 11:10:34 AM EST,3,6/2/21,English,10,10,10,6,Right direction,5,5,5,5,5,,No,No,10,10,10,10,10,10,10,Male,82,russian,White,No,No,Rent,No,,"$10,000 to $24,999",No,5,Car,
2021/07/22 11:13:40 AM EST,3,6/17/21,English,7,8,4,3,Not sure,2,1,3,5,4,3,No,No,4,7,7,9,5,7,4,Female,30,English,White,No,No,Rent,Yes,"To buy, too expensive here","$200,000 or more",,1.5 years,Car,
2021/07/22 11:20:23 AM EST,6,,English,9,9,9,9,Right direction,5,3,3,3,4,4,"Yes, once",No,7,7,6,8,7,8,8,Female,32,English,White,No,Yes,Rent,Yes,To buy a house,"$150,000 to 200,000",No,7 yrs,Walk;Bike;Public transit,
2021/07/26 7:47:40 AM EST,6,6/18/21,English,7,5,4,6,Not sure,4,1,,,3,1,No,No,1,10,9,8,8,3,7,Male,31,,Hispanic/Latino;White,Yes,No,Rent,Yes,,"$75,000 to $99,999",,8 years,Walk;Public transit;Car,
2021/07/26 7:50:45 AM EST,7,6/18/21,English,6,8,9,9,Right direction,5,2,4,4,4,3,"Yes, once","Yes, once",7,9,9,9,8,7,8,Male,33,English,White,No,No,Own,No,,"$100,000 to $149,999",No,10 years,Walk;Bike,
2021/07/26 7:54:39 AM EST,5,,English,7,7,8,8,Right direction,5,1,,4,5,4,"Yes, once",No,10,9,10,9,9,7,7,Male,39,,White,No,Yes,Rent,No,,"$200,000 or more",No,5 years,Walk;Public transit,
2021/07/26 7:57:02 AM EST,6,6/1/21,English,7,7,8,8,Not sure,5,2,,4,5,4,No,,9,9,9,9,9,8,9,Male,53,English,White,No,No,Rent,No,,"$100,000 to $149,999",No,3 years,Car,
2021/07/26 7:59:57 AM EST,5,6/1/21,English,9,8,10,10,Right direction,5,4,,4,4,5,No,No,4,7,4,6,6,7,10,Female,46,English,White,No,No,Rent,Yes,"Needed to buy a house, could not afford in SVL","$150,000 to 200,000",No,,Walk;Bike;Public transit;Car,
2021/07/26 8:02:50 AM EST,3,6/1/21,English,7,6,8,7,Right direction,4,1,3,4,3,5,No,No,10,8,9,10,9,10,6,Female,45,English,White,No,No,Own,Yes,"Want a single-family , not a condo","$100,000 to $149,999",No,21 years,Walk;Public transit;Car,
2021/07/26 8:04:53 AM EST,1,6/1/21,English,1,1,1,1,Wrong track,1,1,1,5,1,,No,No,5,1,1,1,1,6,1,,,,White,No,No,,Yes,,,,,Car,
2021/07/26 8:07:21 AM EST,2,6/1/21,English,10,10,10,10,,,,,,,,"Yes, more than once","Yes, once",8,10,10,5,8,10,10,Female,58,English,White,No,No,Own,No,,"$50,000 to 74,999",No,24 years,Walk;Car,
2021/07/26 8:09:41 AM EST,2,6/1/21,English,7,8,7,8,Right direction,3,2,4,3,5,5,No,No,10,9,10,9,8,9,,Female,31,English,White,No,No,Rent,,,"$25,000 to $49,999",Yes,4 yrs,Walk;Bike,
2021/07/26 8:12:36 AM EST,1,6/1/21,English,8,9,8,8,Right direction,5,1,3,4,5,4,"Yes, once",No,8,8,9,9,7,8,9,Male,33,English,White,No,No,Rent,Yes,Purchase home,"$100,000 to $149,999",,10 years,Car,
2021/07/26 8:15:23 AM EST,1,,Portugese,8,8,9,10,Not sure,4,3,3,2,3,3,No,No,10,10,9,10,10,10,8,Female,24,English,White,No,No,Rent,No,,"$25,000 to $49,999",No,1 year,Walk;Car,
2021/07/26 8:17:36 AM EST,1,,English,7,7,6,7,Not sure,4,2,3,3,3,4,No,No,8,7,5,7,7,7,7,Female,25,English,White,No,No,Rent,No,,"$25,000 to $49,999",No,10 months,Walk;Public transit,
2021/07/26 8:20:12 AM EST,5,6/1/21,English,8,8,8,8,Not sure,3,3,4,4,3,3,No,No,6,7,8,9,7,8,8,Male,,English,Asian,No,Yes,Rent,No,,,No,,Walk,
2021/07/26 8:23:41 AM EST,5,6/1/21,English,7,7,4,4,Wrong track,4,1,4,2,4,5,No,No,7,10,9,10,8,7,9,Male,39,English,White,No,No,Rent,Yes,Too expensive housing,"$75,000 to $99,999",No,14 years,Walk,
2021/07/26 8:26:02 AM EST,5,6/1/21,English,8,8,9,7,Right direction,4,1,4,3,3,3,"Yes, more than once",No,7,7,8,8,6,7,7,Female,43,English,White,No,Yes,Own,No,,"$150,000 to 200,000",No,5.5 years,Walk;Public transit;Car,
2021/07/26 8:30:08 AM EST,1,6/1/21,English,8,8,9,8,Right direction,3,2,3,3,3,3,No,No,8,8,8,,,8,7,Female,,English,Black/African American,No,No,Rent,No,,"$25,000 to $49,999",No,32,Walk;Public transit,
2021/07/26 8:32:53 AM EST,4,6/1/21,English,7,6,2,1,Wrong track,3,3,3,3,1,3,No,"Yes, once",6,1,4,6,1,2,4,Male,45,English,White,No,Yes,Own,Yes,Over populated,"$150,000 to 200,000",No,20 years,Car,
2021/07/26 8:35:17 AM EST,7,,English,6,6,8,1,Right direction,5,3,3,5,4,4,"Yes, once",No,8,9,7,9,9,1,9,Female,65,French,White,Yes,No,Rent,No,,"$10,000 to $24,999",No,8 years,Car,
2021/07/26 8:37:57 AM EST,7,6/1/21,English,9,9,8,8,Right direction,4,2,4,4,4,4,"Yes, more than once",No,6,7,9,9,7,7,7,Female,35,English,White,No,Yes,Own,No,,"$200,000 or more",No,4,Walk;Bike;Public transit;Car,
2021/07/26 8:40:45 AM EST,3,6/1/21,English,5,7,3,3,Right direction,4,4,4,3,4,4,"Yes, more than once",,6,4,8,1,1,10,10,Male,55,English,White,No,No,Own,No,,"$150,000 to 200,000",No,21 years,Bike;Public transit,
2021/07/26 8:44:08 AM EST,5,6/1/21,English,8,8,7,6,Right direction,4,2,,4,2,4,"Yes, more than once",No,6,4,7,5,7,7,7,Male,30,English,White,No,Yes,Own,Yes,Cost of living & family,"$100,000 to $149,999",No,2,Public transit;Car,
2021/07/26 8:47:11 AM EST,7,,English,6,7,7,8,Right direction,3,2,4,3,1,3,No,No,6,6,7,8,7,7,7,Female,68,English,White,Yes,No,Rent,No,,"$10,000 to $24,999",No,45 yrs,Walk;Public transit,
2021/07/26 8:49:56 AM EST,7,6/1/21,English,8,8,2,4,Wrong track,3,5,1,5,4,3,"Yes, more than once",No,10,1,1,2,3,10,9,Male,,,,,,,,,,,,,
2021/07/26 8:53:46 AM EST,5,6/1/21,English,7,8,7,7,Not sure,4,1,,3,4,3,No,No,7,6,9,8,7,2,9,Female,35,English,White,No,No,Rent,Yes,Need a yard for my dog - likely won't find affordable rental,"$75,000 to $99,999",No,1 1/2 years,Walk;Car,
2021/07/26 8:56:27 AM EST,6,6/1/21,English,8,8,10,10,Right direction,4,1,,3,3,5,"Yes, more than once","Yes, more than once",7,9,8,6,9,9,7,Female,61,English,White,No,No,Own,No,,"$50,000 to 74,999",No,19 years,Walk;Car,
2021/07/26 8:59:05 AM EST,6,6/1/21,English,8,9,9,9,Right direction,5,3,4,3,4,4,No,No,8,9,10,10,10,9,10,Male,56,,White,No,No,Rent,No,,"$50,000 to 74,999",No,3 years,Walk,
2021/07/26 9:02:05 AM EST,4,6/1/21,English,9,8,8,6,Right direction,,,,,,,No,,9,9,8,5,5,10,6,Female,57,English,White,No,No,Own,No,,"$150,000 to 200,000",No,since 2005,Walk,
2021/07/26 9:06:31 AM EST,3,6/1/21,English,3,4,5,9,Not sure,4,1,3,3,4,4,No,No,9,8,9,7,7,2,,Female,67,English,White,No,No,Rent,,would like to but can't afford it. I'm a country gal...,"$10,000 to $24,999",No,23 yrs,Walk;Public transit,
2021/07/26 9:08:43 AM EST,1,6/1/21,English,9,9,8,8,Not sure,4,4,4,4,2,3,"Yes, more than once",No,8,9,8,9,8,9,9,Female,71,English,White,No,No,Rent,No,,,No,64 yrs,Car,
2021/07/26 9:11:22 AM EST,2,6/1/21,English,,,,,,5,2,5,5,5,,No,,,,,,,,,Male,,Creole/Portuguese ,Black/African American,No,No,Own,No,,"$75,000 to $99,999",No,,Car,
2021/07/26 9:14:13 AM EST,3,6/1/21,English,7,9,8,5,Wrong track,3,2,3,3,1,1,"Yes, more than once",No,2,8,6,4,4,9,7,Female,70,English,White,Yes,No,Rent,No,,"$10,000 to $24,999",No,12 years,Walk,
2021/07/26 9:17:54 AM EST,7,6/1/21,English,3,6,7,8,Not sure,4,2,4,3,4,,No,"Yes, once",5,9,8,6,7,1,9,Female,65,English,White,No,No,Own,Yes,Retiring - cost of living,"$150,000 to 200,000",No,8 years,Walk;Bike;Public transit;Car,
2021/07/26 9:20:20 AM EST,7,6/1/21,English,5,6,7,6,Right direction,5,3,3,4,2,3,No,No,7,7,7,7,6,7,6,Male,35,English,White,No,No,Rent,Yes,Buy house,"$200,000 or more",No,6 yrs,Walk;Public transit;Car,
2021/07/26 9:23:29 AM EST,5,6/1/21,English,3,2,4,5,Not sure,3,1,4,4,4,5,,No,6,7,7,8,5,9,9,,,,,No,No,Rent,Yes,Not affordable (housing),"$75,000 to $99,999",No,7 years,Walk;Public transit,
2021/07/26 9:26:20 AM EST,7,6/1/21,English,8,7,10,9,Right direction,3,2,3,4,4,5,No,No,8,10,10,8,8,8,8,Female,25,English,White,No,No,Rent,Yes,Life circumstances :(,"$150,000 to 200,000",No,3 years,Walk;Bike;Public transit;Car,
2021/07/26 9:29:00 AM EST,4,6/1/21,English,7,4,9,9,Right direction,4,2,4,3,3,5,No,"Yes, more than once",9,7,9,9,9,4,6,Female,35,English,White,No,No,Rent,No,,"$10,000 to $24,999",No,12 years,Walk,
2021/07/26 9:32:09 AM EST,7,6/1/21,English,7,5,8,10,Not sure,3,,,4,5,4,"Yes, more than once",No,10,8,5,8,,8,,Male,67,"English, Russian, Ukranian",White,,No,Rent,No,,"Less than $10,000",No,,Walk;Public transit;Car,
2021/07/26 9:34:39 AM EST,1,6/1/21,,,,,,Right direction,,,,3,3,,"Yes, more than once",No,,,,,,,,Male,67,,Black/African American,No,No,Own,No,,"$75,000 to $99,999",No,16,Walk;Car,
2021/07/26 9:37:33 AM EST,6,6/1/21,English,8,8,9,9,Right direction,5,2,,4,4,4,"Yes, more than once",No,7,9,10,10,8,9,9,,,,,,No,Own,No,,,No,,Walk;Public transit;Car,
2021/07/26 9:40:25 AM EST,5,6/1/21,English,6,6,10,10,Right direction,5,4,3,5,5,2,No,No,9,10,8,10,8,8,8,Female,31,english,White,No,No,,Yes,graduating from school,"Less than $10,000",Yes,5 months,Walk;Public transit,
2021/07/26 9:43:20 AM EST,6,,English,10,8,8,7,Not sure,4,3,3,4,1,5,"Yes, more than once",,6,5,9,7,5,7,6,Female,40,English,White,No,Yes,,No,,"$200,000 or more",No,4 years,Walk;Bike;Public transit;Car,
2021/07/26 9:46:47 AM EST,7,,English,8,8,7,7,Right direction,4,1,3,3,2,5,"Yes, once",No,6,7,9,9,7,8,6,Female,32,English,White,No,No,Rent,Yes,"buy a house, can't afford Somerville","$150,000 to 200,000",No,4 years,Public transit;Car,
2021/07/26 9:49:53 AM EST,4,6/1/21,English,8,8,8,8,Right direction,4,3,,3,3,3,No,No,6,7,6,8,8,7,7,Female,28,English,White,No,No,Rent,Yes,Plans to buy in the suburbs,"$150,000 to 200,000",No,3 years,Car,
2021/07/26 9:54:19 AM EST,2,6/1/21,English,7,7,7,7,Right direction,4,2,,3,4,5,"Yes, more than once","Yes, more than once",8,9,9,9,7,5,9,Female,52,Eng,White,No,No,Rent,Yes,Too expensive to buy,"$75,000 to $99,999",No,12 years,Walk;Bike;Car,
2021/07/26 9:57:13 AM EST,4,6/1/21,English,7,8,8,7,Right direction,5,2,3,4,5,2,"Yes, once",No,5,8,8,9,9,3,9,Male,25,English,White,No,No,Rent,No,,"$50,000 to 74,999",No,4 yrs,Car,
2021/07/26 10:00:07 AM EST,7,6/1/21,English,9,9,7,7,Not sure,4,1,3,3,1,4,No,No,4,5,8,10,3,5,2,Male,42,english,White,No,No,Own,No,,"$200,000 or more",No,1 yr,Walk;Public transit;Car,
2021/07/26 10:02:31 AM EST,2,6/1/21,English,10,10,3,10,Wrong track,5,5,2,5,5,5,"Yes, once","Yes, more than once",10,10,1,10,10,10,10,Female,35,,Black/African American,No,Yes,Rent,Yes,To many shootings,"$50,000 to 74,999",No,15,Car,
2021/07/26 10:06:16 AM EST,7,6/1/21,English,10,10,1,1,Wrong track,1,1,3,5,1,1,"Yes, more than once","Yes, more than once",10,1,10,6,3,10,1,Female,46,English,White,No,Yes,Own,Yes,Everyone is weird,"$100,000 to $149,999",No,46 years,Car,
2021/07/26 10:08:23 AM EST,7,6/1/21,English,1,10,6,1,Wrong track,3,3,1,5,3,3,No,No,5,1,5,10,5,10,10,Male,72,"English, Spanish, Italian",,No,No,Own,No,,"$200,000 or more",No,72 years,Car,
2021/07/26 10:10:29 AM EST,7,6/1/21,English,10,10,9,9,Wrong track,5,3,1,5,1,3,"Yes, more than once","Yes, more than once",10,6,9,9,9,10,9,Female,66 years,,White,No,Yes,Own,Yes,Politics,"$150,000 to 200,000",No,66 years,Walk;Car,
2021/07/26 10:25:47 AM EST,5,6/1/21,English,8,9,9,9,Not sure,3,2,,,3,,"Yes, once",No,7,8,10,9,8,7,,Male,25,English,White,No,No,Rent,Yes,Grad School,"$150,000 to 200,000",No,3 years,Walk;Public transit,
2021/07/26 10:28:43 AM EST,2,6/1/21,English,10,10,10,10,Right direction,5,5,5,5,5,5,No,No,10,10,10,10,10,9,10,Female,50 yrs,English,Asian,No,Yes,Rent,No,,"$75,000 to $99,999",No,20 yrs,Public transit;Car,
2021/07/26 10:32:43 AM EST,1,6/1/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remove some of the unnessacary Red Lights and tak down the no right on Red signs so we dont polute the environment
2021/07/26 10:35:20 AM EST,3,6/1/21,English,8,8,9,9,Right direction,5,2,4,3,3,4,"Yes, more than once",No,6,7,7,9,9,7,10,Female,36,English,Asian,No,No,Rent,Yes,closer to family,"$200,000 or more",No,9 yrs,Walk;Bike;Car,
2021/07/26 10:37:49 AM EST,3,6/1/21,English,8,8,6,10,Right direction,5,1,3,4,3,3,"Yes, more than once","Yes, more than once",7,9,6,7,10,6,7,Female,44,English,White,No,Yes,Own,No,,"$200,000 or more",No,,Walk;Car,
2021/07/26 10:40:02 AM EST,3,6/1/21,English,9,9,10,10,Right direction,5,3,5,4,4,5,No,No,10,9,10,10,10,10,10,Female,61,English,White,No,No,Own,No,,"$150,000 to 200,000",No,,Car,
2021/07/26 10:42:47 AM EST,2,6/1/21,English,10,10,10,10,Right direction,5,2,4,4,4,3,No,No,8,10,8,10,10,10,8,Female,31,English,Asian,No,No,Own,No,,"$150,000 to 200,000",No,,Walk;Public transit;Car,
2021/07/26 10:45:25 AM EST,3,6/2/21,English,8,7,9,9,Not sure,3,1,3,2,4,4,No,"Yes, once",6,3,10,6,5,8,7,Male,32,,Black/African American,No,No,Rent,No,only if I'm priced out,"$50,000 to 74,999",No,20 months,Walk,
2021/07/26 10:48:42 AM EST,4,6/2/21,English,9,9,9,10,Right direction,5,2,5,3,2,4,"Yes, more than once","Yes, more than once",9,9,9,10,9,9,9,Female,72,,White,No,No,Own,No,,"$75,000 to $99,999",No,30+ yrs,Walk;Car,
2021/07/26 10:51:05 AM EST,7,6/2/21,English,8,9,8,9,,4,3,3,4,2,4,"Yes, more than once",No,1,3,7,8,9,9,8,Male,,,,,,,No,,,No,19 yrs,Public transit;Car,
2021/07/26 10:54:31 AM EST,5,6/2/21,English,7,6,1,1,Wrong track,2,1,1,5,3,1,"Yes, more than once",No,6,4,4,3,4,5,5,Male,60's,english,,No,No,Own,No,,"$25,000 to $49,999",No,50 yrs.,Car,
2021/07/26 10:57:03 AM EST,6,6/1/21,English,9,8,9,9,Right direction,5,2,4,4,3,5,"Yes, more than once","Yes, once",8,8,8,8,8,8,9,Female,68,English,White,No,No,Own,Yes,,"$150,000 to 200,000",No,39 years,Car,
2021/07/26 10:59:56 AM EST,5,6/2/21,English,6,8,9,9,Right direction,5,3,4,3,3,4,"Yes, more than once",No,6,8,8,8,8,9,7,Female,57,English,White,No,No,Own,No,,"$200,000 or more",No,20 years,Walk;Public transit;Car,
2021/07/26 11:02:30 AM EST,3,6/2/21,English,4,4,5,2,Right direction,4,4,,,4,2,"Yes, more than once",No,8,2,2,3,4,3,2,Female,61,English,White,Yes,No,Rent,,?,,No,,,
2021/07/26 11:05:05 AM EST,3,,English,3,8,8,8,Right direction,3,4,,4,2,2,No,"Yes, once",9,9,7,6,6,9,9,Female,30,,Asian,No,No,Own,No,,"$200,000 or more",No,2years,Walk;Car,
2021/07/26 11:07:32 AM EST,6,6/2/21,English,9,9,9,9,Right direction,4,1,3,3,3,4,"Yes, once",No,5,7,6,7,7,10,8,Female,65,English,White,No,No,Own,No,,,No,34 years,Walk;Bike;Car,
2021/07/26 11:15:26 AM EST,5,6/2/21,English,9,,1,1,Wrong track,1,1,1,5,1,5,No,No,10,1,,,,10,,Female,73,Portuguese,White,No,No,Own,No,,"$10,000 to $24,999",No,38 years,Car,
2021/07/26 11:17:19 AM EST,7,,English,10,10,9,10,Right direction,5,2,,4,2,5,"Yes, once","Yes, more than once",9,8,10,9,10,10,7,Male,39,,White,No,No,Own,No,,"$200,000 or more",Yes,7ms,Car,
2021/07/26 11:19:19 AM EST,3,6/2/21,English,7,6,6,8,Not sure,4,2,3,3,4,4,"Yes, once","Yes, once",9,8,9,8,8,10,8,Male,44,English,White,No,Yes,Own,No,,"$200,000 or more",No,21 Years,Walk;Bike;Public transit;Car,
2021/07/26 11:22:19 AM EST,1,6/2/21,English,10,10,4,4,Wrong track,3,1,2,3,1,3,No,No,3,8,8,7,1,6,9,Female,46,"english, spanish",,No,Yes,Rent,Yes,Very expensive to live in Somerville,,No,20 yrs,Walk;Public transit,
2021/07/27 7:46:00 AM EST,5,6/2/21,English,10,9,10,10,Right direction,5,1,4,4,4,4,"Yes, once",No,6,9,9,9,7,9,9,Female,75,English,White,No,No,Own,No,,,No,26 yrs,Walk;Public transit,
2021/07/27 7:48:20 AM EST,1,6/3/21,Spanish,9,9,9,9,Right direction,5,5,5,5,5,5,No,No,1,9,10,9,2,9,2,Female,74 anos,Espanol,Hispanic/Latino,No,No,Rent,No,,"Less than $10,000",No,2 anos,Public transit,
2021/07/27 7:52:19 AM EST,7,6/3/21,English,8,8,1,5,Wrong track,4,3,4,5,3,3,"Yes, more than once","Yes, once",8,10,1,3,,5,3,Female,70 yrs,English,,No,No,Own,,maybe,,No,70 yrs,Car,
2021/07/27 7:55:07 AM EST,5,6/3/21,English,8,7,7,7,Right direction,4,3,4,4,4,3,"Yes, more than once",No,7,8,8,8,8,7,5,Female,35,English,White,No,No,Rent,Yes,Rent cost,"$100,000 to $149,999",No,,Walk;Public transit,
