Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/13 10:48:24 AM EST,6,6/9/21,English,7,6,8,8,Right direction,4,2,3,3,3,4,No,No,7,7,6,8,7,6,6,Female,27,English,White,No,No,Rent,No,,"$75,000 to $99,999",No,4 years,Walk;Public transit,
2021/07/13 10:55:06 AM EST,3,6/9/21,English,10,10,3,3,Wrong track,3,1,4,1,1,3,"Yes, more than once",No,1,1,2,2,1,1,2,Female,62,english,White,Yes,Yes,Own,No,,"$50,000 to 74,999",No,52 yrs,Car,
2021/07/13 11:00:04 AM EST,4,6/9/21,English,3,7,6,10,Wrong track,2,1,5,1,4,4,"Yes, more than once",No,9,9,10,10,8,1,1,nonbinary,36,English & Spanish,White,Yes,No,Rent,Yes,Lack of affordable housing,"$50,000 to 74,999",No,2 years,Walk;Public transit,
2021/07/13 11:03:40 AM EST,2,6/11/21,English,6,7,7,7,Right direction,5,2,4,3,3,4,No,No,5,2,7,7,7,8,7,Female,26,English,White,No,No,Rent,Yes,too expensive!,"$75,000 to $99,999",No,1.5 yrs,Car,
2021/07/13 11:24:43 AM EST,5,6/11/21,English,7,6,6,8,Wrong track,4,1,3,2,3,3,No,No,7,7,8,8,7,7,6,Male,28,English,White,No,No,Rent,No,,"$100,000 to $149,999",No,3 yrs,Car,
2021/07/13 11:28:20 AM EST,6,,English,6,6,7,8,Not sure,4,1,3,2,4,3,No,"Yes, more than once",8,8,10,8,7,8,7,Male,37,English,White,No,No,Own,No,,"$100,000 to $149,999",No,3 years,Walk;Public transit;Car,
2021/07/13 11:33:58 AM EST,1,6/11/21,English,7,8,8,6,Right direction,4,2,4,3,3,3,"Yes, more than once","Yes, once",6,5,5,5,5,4,3,Male,68,Purtugues ,,No,No,Own,No,High tax,,,21 years,Walk;Bike;Public transit;Car,
2021/07/13 11:39:11 AM EST,2,6/12/21,English,7,8,6,7,Not sure,3,2,,4,4,3,No,No,7,6,7,7,6,8,,Male,33,English,White,No,No,Rent,Yes,Not enough access to nature,"$200,000 or more",No,5 yrs,Walk;Bike;Public transit;Car,
2021/07/13 11:46:00 AM EST,1,6/15/21,Portugese,7,7,4,4,,4,1,3,1,2,4,"Yes, more than once",No,9,6,8,8,7,4,3,Female,69,"English Portuguese, Spanish",,Yes,No,Own,Yes,gentrification,"$10,000 to $24,999",No,40 anos,Car,
2021/07/13 11:49:52 AM EST,6,,English,6,8,6,6,Wrong track,3,1,4,4,1,2,"Yes, more than once",No,3,7,3,4,4,3,4,Female,59,English,White,Yes,No,Rent,No,,"$50,000 to 74,999",No,57 years,Car,
