Test Date,Confirmed (by PCR) COVID Cases
4/9/21,8
4/10/21,11
4/11/21,9
4/12/21,19
4/13/21,14
4/14/21,19
4/15/21,15
4/16/21,4
4/17/21,4
4/18/21,3
4/19/21,7
4/20/21,6
4/21/21,10
4/22/21,7
4/23/21,12
4/24/21,5
4/25/21,1
4/26/21,17
4/27/21,14
4/28/21,12
4/29/21,5
4/30/21,10
5/1/21,2
5/2/21,3
5/3/21,8
5/4/21,6
5/5/21,10
5/6/21,11
5/7/21,6
5/8/21,4
5/9/21,1
5/10/21,1
5/11/21,2
5/12/21,7
5/13/21,3
5/14/21,2
5/15/21,2
5/16/21,0
5/17/21,0
5/18/21,4
5/19/21,12
5/20/21,3
5/21/21,1
5/22/21,0
5/23/21,1
5/24/21,7
5/25/21,2
5/26/21,1
5/27/21,2
5/28/21,0
5/29/21,0
5/30/21,2
5/31/21,1
6/1/21,0
6/2/21,4
6/3/21,2
6/4/21,0
6/5/21,0
6/6/21,0
6/7/21,0
6/8/21,1
6/9/21,0
6/10/21,1
6/11/21,1
6/12/21,0
6/13/21,0
6/14/21,0
6/15/21,0
6/16/21,2
6/17/21,0
6/18/21,0
6/19/21,0
6/20/21,0
6/21/21,1
6/22/21,7
6/23/21,0
6/24/21,1
6/25/21,2
6/26/21,2
6/27/21,0
6/28/21,2
6/29/21,0
6/30/21,0
7/1/21,0
7/2/21,1
7/3/21,1
7/4/21,0
7/5/21,0
7/6/21,0
7/7/21,4
7/8/21,2
7/9/21,3
7/10/21,0
7/11/21,0
7/12/21,5
7/13/21,2
7/14/21,8
7/15/21,3
7/16/21,5
7/17/21,3
7/18/21,2
7/19/21,3
7/20/21,3
7/21/21,7
7/22/21,8
7/23/21,9
7/24/21,4
7/25/21,6
7/26/21,9
7/27/21,13
7/28/21,8
7/29/21,10
7/30/21,9
7/31/21,5
8/1/21,9
8/2/21,15
8/3/21,9
8/4/21,8
8/5/21,9
8/6/21,14
8/7/21,7
8/8/21,6
8/9/21,14
8/10/21,9
8/11/21,12
8/12/21,9
8/13/21,9
8/14/21,3
8/15/21,5
8/16/21,9
8/17/21,12
8/18/21,11
8/19/21,12
8/20/21,12
8/21/21,16
8/22/21,9
8/23/21,10
8/24/21,11
8/25/21,12
8/26/21,18
8/27/21,15
8/28/21,1
8/29/21,5
8/30/21,6
8/31/21,13
9/1/21,17
9/2/21,13
9/3/21,15
9/4/21,4
9/5/21,2
9/6/21,4
9/7/21,17
9/8/21,12
9/9/21,20
9/10/21,13
9/11/21,5
9/12/21,14
9/13/21,19
9/14/21,31
9/15/21,25
9/16/21,22
9/17/21,15
9/18/21,4
9/19/21,6
9/20/21,14
9/21/21,16
9/22/21,9
9/23/21,8
9/24/21,5
9/25/21,5
9/26/21,5
9/27/21,10
9/28/21,11
9/29/21,12
9/30/21,11
10/1/21,14
10/2/21,5
10/3/21,3
10/4/21,6
10/5/21,11
10/6/21,13
10/7/21,16
10/8/21,11
10/9/21,8
10/10/21,9
10/11/21,7
10/12/21,13
10/13/21,11
10/14/21,10
10/15/21,11
10/16/21,4
10/17/21,1
10/18/21,10
10/19/21,8
10/20/21,6
10/21/21,11
10/22/21,10
10/23/21,10
10/24/21,3
10/25/21,5
10/26/21,15
10/27/21,13
10/28/21,13
10/29/21,8
10/30/21,10
10/31/21,3
11/1/21,18
11/2/21,23
11/3/21,23
11/4/21,16
11/5/21,14
11/6/21,5
11/7/21,5
11/8/21,19
11/9/21,18
11/10/21,14
11/11/21,10
11/12/21,13
11/13/21,3
11/14/21,12
11/15/21,23
11/16/21,24
11/17/21,24
11/18/21,16
11/19/21,16
11/20/21,16
11/21/21,11
11/22/21,29
11/23/21,31
11/24/21,16
11/25/21,6
11/26/21,12
11/27/21,17
11/28/21,21
11/29/21,41
11/30/21,45
12/1/21,41
12/2/21,36
12/3/21,22
12/4/21,21
12/5/21,10
12/6/21,30
12/7/21,45
12/8/21,36
12/9/21,38
12/10/21,31
12/11/21,23
12/12/21,20
12/13/21,50
12/14/21,67
12/15/21,72
12/16/21,64
12/17/21,62
12/18/21,31
12/19/21,34
12/20/21,142
12/21/21,140
12/22/21,155
12/23/21,103
12/24/21,46
12/25/21,9
12/26/21,63
12/27/21,210
12/28/21,198
12/29/21,217
12/30/21,171
12/31/21,51
1/1/22,39
